Internal SKU,Brand/Vendor,Product Type,Product Title,Price (USD)
INF-TYS-SHO-2026,Taylor Stitch,Wovens,The Short Sleeve Jack in Rinsed Indigo Oxford,128.0
INF-TYS-SHO-2026,Taylor Stitch,Wovens,The Short Sleeve Utility Shirt in Roped Indigo,89.6
INF-TYS-DEM-2026,Taylor Stitch,Bottoms,The Democratic Jean in Japanese Washed Indigo Sashiko,228.0
INF-TYS-RYD-2026,Taylor Stitch,Outerwear,The Ryder Jacket in Japanese Washed Indigo Sashiko,298.0
INF-TYS-HAW-2026,Taylor Stitch,Wovens,The Hawthorne Shirt in Surf Green,94.5
INF-TYS-HAW-2026,Taylor Stitch,Wovens,The Hawthorne Shirt in Asphalt,94.5
INF-TYS-HOO-2026,Taylor Stitch,Knits,The Hooper Crew in Marine Stripe,128.0
INF-TYS-ORG-2026,Taylor Stitch,Knits,The Organic Cotton Short Sleeve Crew in Faded Brick Waffle,70.0
INF-TYS-ORG-2026,Taylor Stitch,Knits,The Organic Cotton Short Sleeve Crew in Washed Blue Waffle,70.0
INF-TYS-DEM-2026,Taylor Stitch,Bottoms,The Democratic Jean in Rinsed Yoshiwa Selvedge,173.6
INF-TYS-STR-2026,Taylor Stitch,Bottoms,The Straight Jean in Rinsed Yoshiwa Selvedge,173.6
INF-TYS-ORG-2026,Taylor Stitch,Knits,The Organic Cotton Shop Tee in Dried Cherry Twist,65.0
INF-TYS-SHO-2026,Taylor Stitch,Knits,The Shop Hoodie in Ivy French Terry,145.0
INF-TYS-LON-2026,Taylor Stitch,Outerwear,The Longshore Jacket in Tobacco Chipped Canvas,138.6
INF-TYS-SHO-2026,Taylor Stitch,Wovens,The Short Sleeve California in Washed Indigo Slub,118.0
INF-TYS-SHO-2026,Taylor Stitch,Knits,The Short Sleeve California in Rinsed Indigo Slub,118.0
INF-TYS-NEW-2026,Taylor Stitch,Knits,The Newton Sweater Polo in Heather Oatmeal,124.6
INF-TYS-NEW-2026,Taylor Stitch,Knits,The Newton Sweater Polo in Heather Clear Blue,124.6
INF-TYS-FOU-2026,Taylor Stitch,Wovens,The Foundry Shirt in Brick Chambray,96.6
INF-TYS-FRE-2026,Taylor Stitch,Outerwear,The Fremont Jacket in Rinsed Indigo Dobby Denim,166.6
